NofNote,Great,Good,Ignore,MissTouch,Score,TotalDistance,AverageDistance,early,late

235,193,7,35,73,112190,37.71363,0.1885681,89,0.1177593,111,0.245343
384,275,50,59,131,171121,72.46853,0.2229801,161,0.1999399,164,0.2455985
425,333,41,51,123,193193,87.13602,0.232984,173,0.1789293,201,0.2795081
304,240,36,28,107,147967,58.90304,0.2134168,162,0.1870027,114,0.2509522
235,173,46,16,23,115446,48.70018,0.2223752,149,0.2216923,70,0.2238282
384,300,46,38,23,194705,64.6226,0.1867705,176,0.1725169,170,0.2015276
425,308,33,84,45,175094,80.49454,0.2360544,145,0.1673889,196,0.2868524
304,281,13,10,14,172015,48.34464,0.1644375,126,0.124684,168,0.1942528
306,115,4,187,7,62910,26.27843,0.2208271,17,0.1683063,102,0.2295806
223,138,8,77,7,92724,16.71066,0.1144566,103,0.1112972,43,0.1220242
275,40,7,228,0,28940,6.285816,0.1337408,31,0.1735836,16,0.05654526
275,40,7,228,0,28940,6.285816,0.1337408,31,0.1735836,16,0.05654526
70,24,0,46,3,15381,2.605978,0.1085824,20,0.1109216,4,0.09688663
139,48,57,34,1,49540,29.15134,0.2776318,104,0.2790088,1,0.1344237
113,32,2,79,1,20776,4.707471,0.138455,27,0.1447819,7,0.1140515
306,5,0,301,0,1166,2.579814,0.5159629,0,NaN,5,0.5159629
235,82,2,151,4,41274,21.68862,0.2581978,13,0.1086434,71,0.285581
235,48,27,160,8,34450,21.76686,0.2902249,63,0.2795791,12,0.3461145
235,143,5,87,9,96258,14.66813,0.09910896,124,0.09008617,24,0.1457268
235,143,5,87,9,96258,14.66813,0.09910896,124,0.09008617,24,0.1457268
235,64,12,159,33,43434,13.53004,0.1780269,56,0.1805631,20,0.1709254
306,2,1,303,0,1230,1.018558,0.3395194,1,0.2636323,2,0.3774629
235,57,1,177,2,36621,6.8495,0.1180948,9,0.05464898,49,0.1297481
92,37,0,55,0,23960,3.771001,0.101919,31,0.1087527,6,0.06661129
92,36,5,51,17,24645,6.085276,0.1484214,34,0.1533182,7,0.124637
92,18,0,74,3,10757,2.734448,0.1519138,14,0.1383706,4,0.1993151
784,79,5,700,11,46945,16.01347,0.1906365,32,0.1211905,52,0.2333727
202,24,0,178,3,13926,4.064258,0.1693441,5,0.07068415,19,0.1953072
175,0,0,175,0,0,0,NaN,0,NaN,0,NaN
82,13,0,69,1,8795,0.9479432,0.07291871,9,0.09489277,4,0.02347708
82,29,0,53,0,18956,2.780745,0.09588774,29,0.09588774,0,NaN
336,18,2,316,1,12093,2.895951,0.1447976,20,0.1447976,0,NaN
254,84,3,167,4,54139,11.06914,0.1272315,69,0.1262685,18,0.1309231
86,13,2,71,3,9206,2.037858,0.1358572,15,0.1358572,0,NaN
173,20,0,153,1,12914,2.074893,0.1037447,18,0.09151249,2,0.2138343
120,11,0,109,0,7456,0.7895112,0.07177375,9,0.08562104,2,0.009460926
142,10,0,132,0,6644,0.8487177,0.08487177,4,0.05864573,6,0.1023558
122,59,1,62,6,37365,7.603094,0.1267182,60,0.1267182,0,NaN
122,0,0,122,0,0,0,NaN,0,NaN,0,NaN
122,20,0,102,1,13533,1.457259,0.07286296,13,0.0859437,7,0.04857016
142,29,0,113,0,19472,2.264962,0.07810213,11,0.07176603,18,0.08197419
142,29,0,113,0,19854,1.88484,0.0649945,19,0.08236431,10,0.03199186
304,0,0,304,0,0,0,NaN,0,NaN,0,NaN
304,182,4,118,11,107089,32.31596,0.1737417,46,0.1085248,140,0.1951702
304,275,13,16,25,163599,52.26491,0.1814754,165,0.1202445,123,0.2636141
108,2,0,106,0,1211,0.2887726,0.1443863,2,0.1443863,0,NaN
92,57,1,34,0,38415,5.055682,0.08716694,46,0.09443395,12,0.05931004
92,42,0,50,0,28809,2.668344,0.06353199,28,0.07719643,14,0.03620311
